Generation,mate_1_look,mate_2_look,mate_3_look,mate_4_look,mate_5_look,mate_6_look,mate_7_look,mate_8_look,mate_9_look,mate_10_look,mate_11_look,mate_12_look,mate_13_look,mate_14_look,mate_15_look,mate_16_look,mate_17_look,mate_18_look,mate_19_look,mate_20_look
61,0.55,0.05,0.25,0.0,0.95,0.7,0.5,0.95,0.75,0.8,0.2,0.05,0.65,0.95,0.95,0.5,0.4,0.1,0.75,0.25
62,0.65,0.2,0.25,0.0,0.8,0.9,0.6,0.95,0.45,0.85,0.55,0.05,0.4,0.95,1.0,0.55,0.75,0.2,0.65,0.45
63,0.75,0.5,0.45,0.0,0.75,0.7,0.7,1.0,0.4,0.95,0.45,0.25,0.25,0.9,0.85,0.55,0.8,0.25,0.55,0.4
64,0.75,0.35,0.55,0.0,0.8,0.75,0.75,0.95,0.4,0.85,0.75,0.3,0.25,1.0,0.75,0.8,0.75,0.35,0.35,0.55
65,0.55,0.15,0.8,0.0,0.6,0.7,0.65,0.95,0.7,0.85,0.5,0.2,0.25,0.95,1.0,0.9,0.55,0.55,0.5,0.55
66,0.45,0.1,0.75,0.05,0.55,0.7,0.5,0.95,0.85,0.75,0.5,0.05,0.25,0.95,1.0,0.95,0.45,0.45,0.45,0.8
67,0.7,0.2,0.55,0.0,0.5,0.7,0.6,0.9,0.75,0.75,0.6,0.05,0.4,0.85,0.9,0.85,0.55,0.45,0.45,0.8
68,0.6,0.35,0.55,0.05,0.6,0.65,1.0,0.9,0.75,0.75,0.7,0.15,0.35,0.8,0.85,0.85,0.45,0.45,0.2,0.65
69,0.65,0.35,0.35,0.15,0.65,0.65,1.0,1.0,0.75,0.75,0.85,0.05,0.45,0.95,0.75,0.9,0.7,0.4,0.35,0.7
70,0.6,0.4,0.4,0.2,0.6,0.7,0.95,0.95,0.7,0.75,0.75,0.0,0.5,1.0,0.65,0.9,0.75,0.5,0.4,0.7
71,0.55,0.6,0.35,0.1,0.65,0.65,1.0,0.95,0.65,0.65,0.7,0.0,0.4,0.95,0.55,0.75,0.6,0.55,0.4,0.55
72,0.65,0.7,0.3,0.15,0.8,0.75,1.0,1.0,0.55,0.85,0.85,0.05,0.65,1.0,0.5,0.7,0.7,0.45,0.3,0.4
73,0.55,0.8,0.35,0.25,0.8,0.6,0.9,1.0,0.7,0.75,0.65,0.0,0.6,1.0,0.7,0.75,0.55,0.65,0.45,0.6
74,0.55,0.95,0.65,0.3,0.65,0.45,0.85,1.0,0.65,0.6,0.3,0.0,0.25,0.9,0.8,0.8,0.25,0.9,0.55,0.6
75,0.75,0.9,0.55,0.3,0.9,0.65,0.7,0.95,0.65,0.85,0.4,0.1,0.55,0.85,0.7,0.7,0.3,0.95,0.45,0.7
76,0.85,0.95,0.55,0.25,0.85,0.7,0.7,1.0,0.65,0.8,0.35,0.15,0.5,0.95,0.6,0.8,0.5,0.85,0.65,0.55
77,0.9,0.9,0.35,0.25,0.65,0.75,0.65,0.9,0.45,0.85,0.45,0.3,0.5,0.95,0.35,0.85,0.65,0.8,0.5,0.45
78,0.55,0.75,0.5,0.25,0.65,0.85,0.85,1.0,0.45,0.85,0.35,0.5,0.45,0.9,0.75,0.9,0.65,0.5,0.3,0.45
79,0.5,0.55,0.6,0.25,0.65,0.85,0.85,0.95,0.4,0.75,0.25,0.55,0.5,0.85,0.95,0.9,0.75,0.35,0.4,0.45
80,0.7,0.45,0.55,0.45,0.7,0.9,0.8,0.9,0.5,0.7,0.35,0.65,0.7,0.8,0.9,0.85,0.75,0.5,0.45,0.7
81,0.7,0.5,0.75,0.45,0.45,0.9,0.8,0.75,0.7,0.85,0.4,0.7,0.5,0.95,0.75,0.75,0.6,0.45,0.55,0.8
82,0.65,0.4,0.7,0.55,0.3,0.9,1.0,0.7,0.65,0.95,0.25,0.65,0.1,0.95,0.7,0.65,0.6,0.3,0.65,0.85
83,0.7,0.7,0.7,0.5,0.55,0.7,0.85,0.8,0.5,0.85,0.1,0.45,0.15,0.9,0.6,0.75,0.55,0.35,0.45,0.8
84,0.75,0.9,0.5,0.25,0.7,0.7,0.85,0.8,0.5,0.8,0.05,0.45,0.2,0.75,0.55,0.5,0.75,0.1,0.4,0.95
85,0.75,1.0,0.6,0.2,0.8,0.8,0.8,0.75,0.45,0.55,0.05,0.5,0.4,0.75,0.65,0.45,0.55,0.05,0.4,0.95
86,0.85,0.95,0.65,0.55,0.7,0.7,0.85,0.7,0.5,0.45,0.05,0.5,0.55,0.85,0.85,0.5,0.5,0.0,0.45,1.0
87,0.75,1.0,0.35,0.65,0.75,0.9,1.0,0.95,0.4,0.65,0.1,0.35,0.35,0.65,0.5,0.4,0.65,0.15,0.35,0.85
88,0.7,0.95,0.45,0.65,0.7,0.8,0.95,0.9,0.5,0.6,0.3,0.45,0.5,0.85,0.75,0.55,0.35,0.3,0.45,0.7
89,0.4,0.95,0.65,0.45,0.8,0.75,0.8,0.9,0.7,0.45,0.15,0.7,0.75,0.85,0.75,0.8,0.1,0.15,0.7,0.7
90,0.5,0.85,0.5,0.35,0.7,0.55,0.65,0.75,0.6,0.85,0.1,0.55,0.7,0.7,0.6,0.8,0.1,0.3,0.75,0.7
91,0.7,0.7,0.55,0.55,0.9,0.5,0.3,0.8,0.3,1.0,0.1,0.4,0.6,0.6,0.35,0.95,0.05,0.25,1.0,0.65
92,0.55,0.7,0.6,0.7,0.85,0.5,0.5,0.75,0.45,1.0,0.0,0.5,0.55,0.65,0.5,0.85,0.3,0.3,0.95,0.6
93,0.45,0.75,0.85,0.8,0.8,0.45,0.55,0.8,0.4,0.95,0.0,0.75,0.65,0.55,0.7,0.75,0.35,0.2,1.0,0.7
94,0.65,0.75,0.8,0.7,0.9,0.4,0.55,0.9,0.6,0.75,0.1,0.7,0.65,0.55,0.65,0.75,0.25,0.25,1.0,0.7
95,0.7,0.75,0.75,0.55,0.9,0.4,0.45,0.95,0.5,0.8,0.05,0.75,0.5,0.35,0.5,0.7,0.25,0.15,1.0,0.65
96,0.35,0.55,0.75,0.55,0.75,0.45,0.65,0.85,0.5,0.7,0.05,0.95,0.65,0.65,0.65,0.45,0.35,0.2,1.0,0.75
97,0.4,0.4,0.6,0.65,0.8,0.35,0.75,0.8,0.65,0.6,0.1,0.75,0.65,0.8,0.65,0.55,0.25,0.05,0.95,0.7
98,0.2,0.2,0.55,0.7,0.6,0.2,0.85,0.75,0.8,0.55,0.0,0.75,0.85,0.8,0.75,0.25,0.25,0.15,0.9,0.8
99,0.5,0.5,0.2,0.45,0.65,0.3,0.75,0.55,0.75,0.35,0.1,0.6,0.7,0.6,0.75,0.5,0.7,0.0,0.75,0.45
